시간,건설공사비지수,기준금리,집값 변동률,스트레스 DSR,핵심규제지역,매수우위지수,"M2(평잔,계절조정계열)",가계대출,미분양 현황,건설공사비지수_lag1,건설공사비지수_lag2,건설공사비지수_lag3,기준금리_lag1,기준금리_lag2,기준금리_lag3,집값 변동률_lag1,집값 변동률_lag2,집값 변동률_lag3,스트레스 DSR_lag1,스트레스 DSR_lag2,스트레스 DSR_lag3,핵심규제지역_lag1,핵심규제지역_lag2,핵심규제지역_lag3,매수우위지수_lag1,매수우위지수_lag2,매수우위지수_lag3,"M2(평잔,계절조정계열)_lag1","M2(평잔,계절조정계열)_lag2","M2(평잔,계절조정계열)_lag3",가계대출_lag1,가계대출_lag2,가계대출_lag3,미분양 현황_lag1,미분양 현황_lag2,미분양 현황_lag3
14-Nov,85.46,2.0,0.27,0.0,0.0,58.3,1935697.0,738162.3,40379.0,85.5,85.65,84.57,2.0,2.25,2.25,0.36,0.37,0.15,0.0,0.0,0.0,0.0,0.0,0.0,69.3,72.0,52.6,1912477.6,1901679.4,1891814.7,730645.4,722884.9,717236.0,40379.0,40379.0,40379.0
14-Dec,85.3,2.0,0.21,0.0,0.0,53.0,1946213.6,745823.2,40379.0,85.46,85.5,85.65,2.0,2.0,2.25,0.27,0.36,0.37,0.0,0.0,0.0,0.0,0.0,0.0,58.3,69.3,72.0,1935697.0,1912477.6,1901679.4,738162.3,730645.4,722884.9,40379.0,40379.0,40379.0
15-Jan,85.64,2.0,0.2,0.0,0.0,57.0,1949424.5,746493.7,61512.0,85.3,85.46,85.5,2.0,2.0,2.0,0.21,0.27,0.36,0.0,0.0,0.0,0.0,0.0,0.0,53.0,58.3,69.3,1946213.6,1935697.0,1912477.6,745823.2,738162.3,730645.4,40379.0,40379.0,40379.0
15-Feb,85.47,2.0,0.3,0.0,0.0,68.7,1966543.7,750272.9,56413.0,85.64,85.3,85.46,2.0,2.0,2.0,0.2,0.21,0.27,0.0,0.0,0.0,0.0,0.0,0.0,57.0,53.0,58.3,1949424.5,1946213.6,1935697.0,746493.7,745823.2,738162.3,61512.0,40379.0,40379.0
15-Mar,85.36,1.75,0.43,0.0,0.0,86.2,1983317.2,755124.9,56413.0,85.47,85.64,85.3,2.0,2.0,2.0,0.3,0.2,0.21,0.0,0.0,0.0,0.0,0.0,0.0,68.7,57.0,53.0,1966543.7,1949424.5,1946213.6,750272.9,746493.7,745823.2,56413.0,61512.0,40379.0
15-Apr,85.1,1.75,0.64,0.0,0.0,81.8,2006484.3,765240.8,56413.0,85.36,85.47,85.64,1.75,2.0,2.0,0.43,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,86.2,68.7,57.0,1983317.2,1966543.7,1949424.5,755124.9,750272.9,746493.7,56413.0,56413.0,61512.0
15-May,85.05,1.75,0.48,0.0,0.0,78.2,2018864.2,768150.8,56413.0,85.1,85.36,85.47,1.75,1.75,2.0,0.64,0.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,81.8,86.2,68.7,2006484.3,1983317.2,1966543.7,765240.8,755124.9,750272.9,56413.0,56413.0,56413.0
15-Jun,84.99,1.5,0.53,0.0,0.0,79.0,2028091.1,759947.8,56413.0,85.05,85.1,85.36,1.75,1.75,1.75,0.48,0.64,0.43,0.0,0.0,0.0,0.0,0.0,0.0,78.2,81.8,86.2,2018864.2,2006484.3,1983317.2,768150.8,765240.8,755124.9,56413.0,56413.0,56413.0
15-Jul,85.0,1.5,0.35,0.0,0.0,83.5,2046768.0,763268.2,56413.0,84.99,85.05,85.1,1.5,1.75,1.75,0.53,0.48,0.64,0.0,0.0,0.0,0.0,0.0,0.0,79.0,78.2,81.8,2028091.1,2018864.2,2006484.3,759947.8,768150.8,765240.8,56413.0,56413.0,56413.0
15-Aug,84.87,1.5,0.35,0.0,0.0,79.2,2058804.8,773068.4,56413.0,85.0,84.99,85.05,1.5,1.5,1.75,0.35,0.53,0.48,0.0,0.0,0.0,0.0,0.0,0.0,83.5,79.0,78.2,2046768.0,2028091.1,2018864.2,763268.2,759947.8,768150.8,56413.0,56413.0,56413.0
15-Sep,85.68,1.5,0.44,0.0,0.0,79.1,2069757.1,780590.2,56413.0,84.87,85.0,84.99,1.5,1.5,1.5,0.35,0.35,0.53,0.0,0.0,0.0,0.0,0.0,0.0,79.2,83.5,79.0,2058804.8,2046768.0,2028091.1,773068.4,763268.2,759947.8,56413.0,56413.0,56413.0
15-Oct,85.52,1.5,0.45,0.0,0.0,83.5,2076050.9,792401.9,56413.0,85.68,84.87,85.0,1.5,1.5,1.5,0.44,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,79.1,79.2,83.5,2069757.1,2058804.8,2046768.0,780590.2,773068.4,763268.2,56413.0,56413.0,56413.0
15-Nov,85.35,1.5,0.41,0.0,0.0,65.5,2084185.5,801296.2,56413.0,85.52,85.68,84.87,1.5,1.5,1.5,0.45,0.44,0.35,0.0,0.0,0.0,0.0,0.0,0.0,83.5,79.1,79.2,2076050.9,2069757.1,2058804.8,792401.9,780590.2,773068.4,56413.0,56413.0,56413.0
15-Dec,84.86,1.5,0.21,0.0,0.0,54.5,2094647.7,812360.0,56413.0,85.35,85.52,85.68,1.5,1.5,1.5,0.41,0.45,0.44,0.0,0.0,0.0,0.0,0.0,0.0,65.5,83.5,79.1,2084185.5,2076050.9,2069757.1,801296.2,792401.9,780590.2,56413.0,56413.0,56413.0
16-Jan,85.27,1.5,0.02,0.0,0.0,47.8,2112089.3,815207.3,57330.0,84.86,85.35,85.52,1.5,1.5,1.5,0.21,0.41,0.45,0.0,0.0,0.0,0.0,0.0,0.0,54.5,65.5,83.5,2094647.7,2084185.5,2076050.9,812360.0,801296.2,792401.9,56413.0,56413.0,56413.0
16-Feb,85.19,1.5,-0.01,0.0,0.0,47.2,2129784.1,818680.7,57330.0,85.27,84.86,85.35,1.5,1.5,1.5,0.02,0.21,0.41,0.0,0.0,0.0,0.0,0.0,0.0,47.8,54.5,65.5,2112089.3,2094647.7,2084185.5,815207.3,812360.0,801296.2,57330.0,56413.0,56413.0
16-Mar,85.31,1.5,-0.03,0.0,0.0,46.0,2136613.8,825506.0,57330.0,85.19,85.27,84.86,1.5,1.5,1.5,-0.01,0.02,0.21,0.0,0.0,0.0,0.0,0.0,0.0,47.2,47.8,54.5,2129784.1,2112089.3,2094647.7,818680.7,815207.3,812360.0,57330.0,57330.0,56413.0
16-Apr,85.91,1.5,0.0,0.0,0.0,49.3,2145385.9,833242.2,57330.0,85.31,85.19,85.27,1.5,1.5,1.5,-0.03,-0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,46.0,47.2,47.8,2136613.8,2129784.1,2112089.3,825506.0,818680.7,815207.3,57330.0,57330.0,57330.0
16-May,86.21,1.5,0.02,0.0,0.0,54.0,2163643.3,843348.3,57330.0,85.91,85.31,85.19,1.5,1.5,1.5,0.0,-0.03,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,49.3,46.0,47.2,2145385.9,2136613.8,2129784.1,833242.2,825506.0,818680.7,57330.0,57330.0,57330.0
16-Jun,86.52,1.25,0.04,0.0,0.0,61.9,2178064.5,853309.9,57330.0,86.21,85.91,85.31,1.5,1.5,1.5,0.02,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,54.0,49.3,46.0,2163643.3,2145385.9,2136613.8,843348.3,833242.2,825506.0,57330.0,57330.0,57330.0
16-Jul,86.52,1.25,0.05,0.0,0.0,69.1,2193889.4,861646.9,57330.0,86.52,86.21,85.91,1.25,1.5,1.5,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.9,54.0,49.3,2178064.5,2163643.3,2145385.9,853309.9,843348.3,833242.2,57330.0,57330.0,57330.0
16-Aug,86.35,1.25,0.08,0.0,0.0,76.5,2212930.6,873305.7,57330.0,86.52,86.52,86.21,1.25,1.25,1.5,0.05,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,69.1,61.9,54.0,2193889.4,2178064.5,2163643.3,861646.9,853309.9,843348.3,57330.0,57330.0,57330.0
16-Sep,87.62,1.25,0.1,0.0,0.0,84.4,2215033.9,881665.9,57330.0,86.35,86.52,86.52,1.25,1.25,1.25,0.08,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,76.5,69.1,61.9,2212930.6,2193889.4,2178064.5,873305.7,861646.9,853309.9,57330.0,57330.0,57330.0
